Name,Type,Efficiency Rating,Wattage,Modular,Color,Rating,Price
Corsair CX (2023) (9),TypeATX,Efficiency Rating80+ Bronze,Wattage550 W,ModularNo,ColorBlack,(9),€56.95Add
be quiet! Pure Power 12 M (37),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(37),€149.99Add
Corsair RM1000x (34),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,Color,(34),Add
Corsair HX1500i (2025) (1),TypeATX,Efficiency Rating80+ Platinum,Wattage1500 W,ModularFull,ColorBlack,(1),€285.69Add
be quiet! Dark Power 13 (10),TypeATX,Efficiency Rating80+ Titanium,Wattage1000 W,ModularFull,ColorBlack,(10),€294.90Add
Lian Li EDGE (9),TypeATX,Efficiency Rating80+ Platinum,Wattage1300 W,ModularFull,ColorWhite,(9),€252.50Add
ASRock PRO-650G (0),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularNo,ColorBlack,(0),Add
Asus TUF Gaming 850G (8),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(8),€127.99Add
SeaSonic CORE GX ATX 3 (2024) (2),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(2),€118.55Add
Asus ROG Strix (2),TypeATX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorBlack,(2),€239.90Add
MSI MAG A1000GL PCIE5 (5),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(5),€154.90Add
Thermaltake Smart (25),TypeATX,Efficiency Rating80+,Wattage700 W,ModularNo,Color,(25),Add
CoolMax V-400 (4),TypeATX,Efficiency Rating,Wattage400 W,ModularNo,Color,(4),Add
Thermaltake Toughpower GF1 (2024) (12),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(12),Add
be quiet! Power Zone 2 (3),TypeATX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorBlack,(3),€164.63Add
SAMA GT (5),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularFull,ColorBlack,(5),Add
Corsair RM750x (2024) (9),TypeATX,Efficiency Rating,Wattage750 W,ModularFull,ColorBlack,(9),€129.94Add
Apevia Prestige (10),TypeATX,Efficiency Rating80+ Gold,Wattage600 W,ModularNo,ColorBlack,(10),€125.65Add
Asus ROG STRIX 1000P GAMING (1),TypeATX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorWhite,(1),€263.45Add
Gigabyte P650G (1),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularNo,ColorBlack,(1),€71.30Add
Corsair CX (2023) (18),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularNo,ColorBlack,(18),€58.95Add
Corsair RM750x (2018) (148),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(148),Add
Lian Li EDGE GOLD (8),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorWhite,(8),€123.10Add
Corsair RM850e (2023) (111),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(111),Add
SeaSonic Focus GX V4 ATX 3 (2024) (4),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(4),€182.10Add
MSI MAG A650BE (12),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularSemi,ColorBlack,(12),Add
be quiet! Dark Power Pro 13 (7),TypeATX,Efficiency Rating80+ Titanium,Wattage1600 W,ModularFull,ColorBlack,(7),€445.75Add
Thermaltake Toughpower GT (2),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorWhite,(2),Add
Corsair RM750e (2023) (165),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(165),€159.00Add
SeaSonic PRIME TX-1600 ATX 3.1 (2),TypeATX,Efficiency Rating80+ Titanium,Wattage1600 W,ModularFull,ColorBlack / Silver,(2),€534.14Add
Cooler Master MWE Gold V3 (1),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularNo,ColorBlack,(1),€82.80Add
Lian Li EDGE (7),TypeATX,Efficiency Rating80+ Platinum,Wattage1300 W,ModularFull,ColorBlack,(7),€243.71Add
Gigabyte UD850GM (14),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(14),€177.61Add
Asus TUF Gaming 1000G (9),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(9),€179.90Add
be quiet! SFX L Power (0),TypeSFX,Efficiency Rating80+ Gold,Wattage600 W,ModularFull,ColorBlack,(0),Add
Raidmax Cobra (1),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularFull,ColorBlack,(1),Add
