Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price
TEAMGROUP T-Force DELTAα RGB 16 GB (1),SpeedDDR5-6000,Modules2 x 8GB,Price / GB,ColorWhite,First Word Latency12.667 ns,CAS Latency38,(1),Add
Corsair Vengeance RGB Pro 32 GB (8),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€9.432,ColorWhite,First Word Latency10 ns,CAS Latency16,(8),€301.81Add
Silicon Power GAMING 32 GB (27),SpeedDDR4-3200,Modules2 x 16GB,Price / GB,ColorBlack,First Word Latency10 ns,CAS Latency16,(27),Add
Corsair Vengeance RGB 32 GB (79),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.716,ColorGray,First Word Latency10 ns,CAS Latency30,(79),€598.90Add
Patriot Signature Line 4 GB (0),SpeedDDR4-2666,Modules1 x 4GB,Price / GB,Color,First Word Latency14.254 ns,CAS Latency19,(0),Add
Kingston FURY Beast 32 GB (10),SpeedDDR5-5600,Modules2 x 16GB,Price / GB€14.896,ColorBlack,First Word Latency12.857 ns,CAS Latency36,(10),€476.66Add
Corsair Dominator Titanium 64 GB (5),SpeedDDR5-6600,Modules2 x 32GB,Price / GB,ColorWhite,First Word Latency9.697 ns,CAS Latency32,(5),Add
Crucial CT8G4DFS824A 8 GB (4),SpeedDDR4-2400,Modules1 x 8GB,Price / GB,ColorGreen,First Word Latency14.167 ns,CAS Latency17,(4),Add
Corsair Vengeance RGB 128 GB (0),SpeedDDR5-6400,Modules2 x 64GB,Price / GB€13.734,ColorBlack,First Word Latency13.125 ns,CAS Latency42,(0),€1757.99Add
Kingston FURY Beast 16 GB (2),SpeedDDR5-5200,Modules1 x 16GB,Price / GB€14.238,ColorBlack / Silver,First Word Latency15.385 ns,CAS Latency40,(2),€227.80Add
Kingston FURY Beast RGB 64 GB (2),SpeedDDR5-6400,Modules2 x 32GB,Price / GB€17.752,ColorBlack,First Word Latency10 ns,CAS Latency32,(2),€1136.10Add
Corsair Vengeance RGB 32 GB (16),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€17.525,ColorBlack,First Word Latency11.25 ns,CAS Latency36,(16),€560.80Add
Lexar Ares RGB 16 GB (0),SpeedDDR4-3866,Modules2 x 8GB,Price / GB,ColorWhite,First Word Latency9.312 ns,CAS Latency18,(0),Add
Corsair Vengeance RGB 32 GB (5),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.906,ColorWhite,First Word Latency10 ns,CAS Latency30,(5),€604.99Add
Patriot Viper Steel 32 GB (10),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€8.062,ColorSilver / Black,First Word Latency10 ns,CAS Latency16,(10),€257.99Add
Corsair Vengeance RGB Pro 16 GB (177),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€11.874,ColorWhite,First Word Latency10 ns,CAS Latency16,(177),€189.99Add
Corsair Vengeance 64 GB (8),SpeedDDR5-5200,Modules2 x 32GB,Price / GB€14.078,ColorBlack,First Word Latency15.385 ns,CAS Latency40,(8),€900.99Add
Crucial Pro 64 GB (4),SpeedDDR5-5600,Modules2 x 32GB,Price / GB€12.308,ColorBlack,First Word Latency16.429 ns,CAS Latency46,(4),€787.71Add
Kingston FURY Beast 64 GB (8),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€11.386,ColorBlack,First Word Latency10 ns,CAS Latency30,(8),€728.71Add
G.Skill Flare X5 16 GB (3),SpeedDDR5-6000,Modules1 x 16GB,Price / GB,ColorBlack,First Word Latency12 ns,CAS Latency36,(3),Add
Kingston FURY Beast RGB 32 GB (0),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€14.494,ColorBlack,First Word Latency11.333 ns,CAS Latency34,(0),€463.80Add
Kingston FURY Beast RGB 32 GB (9),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€20.684,ColorWhite,First Word Latency10 ns,CAS Latency30,(9),€661.90Add
Corsair Vengeance LPX 32 GB (107),SpeedDDR4-3600,Modules2 x 16GB,Price / GB€10.531,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency18,(107),€336.99Add
Patriot Viper Venom 32 GB (8),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€14.896,ColorBlack / White,First Word Latency12 ns,CAS Latency36,(8),€476.66Add
Kingston FURY Beast 8 GB (0),SpeedDDR5-5600,Modules1 x 8GB,Price / GB€21.738,ColorBlack,First Word Latency14.286 ns,CAS Latency40,(0),€173.90Add
Corsair Vengeance LPX 16 GB (24),SpeedDDR4-3000,Modules2 x 8GB,Price / GB€9.863,ColorBlack,First Word Latency10.667 ns,CAS Latency16,(24),€157.80Add
Kingston Server Premier 64 GB (0),SpeedDDR4-3200,Modules1 x 64GB,Price / GB€13.217,Color,First Word Latency13.75 ns,CAS Latency22,(0),€845.90Add
Corsair Vengeance RGB 128 GB (0),SpeedDDR5-5600,Modules4 x 32GB,Price / GB€15.460,ColorBlack,First Word Latency14.286 ns,CAS Latency40,(0),€1978.90Add
Crucial CT2K16G48C40U5 32 GB (3),SpeedDDR5-4800,Modules2 x 16GB,Price / GB€19.746,ColorBlack,First Word Latency16.667 ns,CAS Latency40,(3),€631.87Add
G.Skill Trident Z5 RGB 32 GB (52),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€16.715,ColorBlack,First Word Latency12 ns,CAS Latency36,(52),€534.88Add
Corsair Dominator Titanium 32 GB (12),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€20.093,ColorWhite,First Word Latency10 ns,CAS Latency30,(12),€642.99Add
Patriot Viper Venom 16 GB (1),SpeedDDR5-5600,Modules2 x 8GB,Price / GB€14.874,ColorBlack / White,First Word Latency14.286 ns,CAS Latency40,(1),€237.99Add
Silicon Power SP016GLLTU160N22 16 GB (2),SpeedDDR3-1600,Modules2 x 8GB,Price / GB,ColorGreen,First Word Latency13.75 ns,CAS Latency11,(2),Add
Patriot Viper Venom 16 GB (1),SpeedDDR5-6000,Modules1 x 16GB,Price / GB€15.312,ColorBlack / White,First Word Latency10 ns,CAS Latency30,(1),€244.99Add
TEAMGROUP T-Force Vulcan Z 16 GB (5),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.762,ColorGray,First Word Latency10 ns,CAS Latency16,(5),€172.20Add
